,corrected_question,sparql_query,answer,entity,wiki_answer
3,What is the allegiance of John Kotelawala ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_Kotelawala> <http://dbpedia.org/property/allegiance> ?uri } ,['http://dbpedia.org/resource/Sri_Lanka'],John Kotelawala,political leaders
6,What is the region of Tom Perriello ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tom_Perriello> <http://dbpedia.org/ontology/region> ?uri } ,[],Tom Perriello,Sierra Leone
9,Name the mascot of Austin College ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Austin_College> <http://dbpedia.org/property/mascot> ?uri } ,['http://dbpedia.org/resource/Kangaroo'],Austin College,David Peeples
13,Name the origin of Henry Cluney ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Henry_Cluney> <http://dbpedia.org/property/origin> ?uri } ,"['http://dbpedia.org/resource/Northern_Ireland', 'http://dbpedia.org/resource/Belfast']",Henry Cluney,"Sorry, answer not found!"
19,Name the resting place of Charles Edward Magoon ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Charles_Edward_Magoon> <http://dbpedia.org/property/restingplace> ?uri } ,"['http://dbpedia.org/resource/Lincoln,_Nebraska', 'Wyuka Cemetery']",Charles Edward Magoon,Cuba
21,Who was the silver medalist of Gymnastics at the 2008 Summer Olympics  Women's artistic individual all-around ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Gymnastics_at_the_2008_Summer_Olympics_–_Women's_artistic_individual_all-around> <http://dbpedia.org/ontology/silverMedalist> ?uri } ,['http://dbpedia.org/resource/Shawn_Johnson'],2008 Summer Olympics,He Kexin
25,"Who is the leader of United States House of Representatives elections, 1788 and 1789 ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/United_States_House_of_Representatives_elections,_1788_and_1789> <http://dbpedia.org/property/leader> ?uri } ",[],United States,Chief Justice John Marshall
30,List the battles fought by Roh Tae-woo ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Roh_Tae-woo> <http://dbpedia.org/property/battles> ?uri } ,"['http://dbpedia.org/resource/Korean_War', 'http://dbpedia.org/resource/Vietnam_War']",Roh Tae-woo,Recipient of the Grand Order of Mugunghwa
41,What organisation regulates and controls the New Sanno Hotel?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/New_Sanno_Hotel> <http://dbpedia.org/ontology/tenant> ?uri } ,[],New Sanno Hotel,"Sorry, answer not found!"
69,In which language is All I need is Your Sweet lovin written ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/All_I_Need_Is_Your_Sweet_Lovin'> <http://dbpedia.org/property/language> ?uri } ,['http://dbpedia.org/resource/Slovakia'],Sweet,Chinese
82,What is the distributing label of StandBy Records ?, SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/StandBy_Records> <http://dbpedia.org/ontology/distributingLabel> ?uri } ,"['http://dbpedia.org/resource/RED_Distribution', 'http://dbpedia.org/resource/Victory_Records']",StandBy Records,"Everything
Television Supervision"
